address,suburb,sale_date,sale_method,price,beds,baths,parking,land_size_sqm,property_type
"9/1A Queen Street, Mosman",Mosman,2026-03-03,private treaty,1500000,2,1,2,,Apartment
"51 Prince Street, Mosman",Mosman,2026-03-02,prior to auction,6600000,5,4,2,,House
"2/9-11 Park Avenue, Mosman",Mosman,2026-03-02,prior to auction,3300000,4,2,2,,Townhouse
"28 David Street, Mosman",Mosman,2026-03-02,private treaty,17150000,5,5,3,1150,House
"33 Spofforth Street, Mosman",Mosman,2026-03-02,private treaty,5075000,4,3,3,,House
"3/15 Mosman Street, Mosman",Mosman,2026-03-01,private treaty,2755000,3,2,2,,Apartment
"9/48 Middle Head Road, Mosman",Mosman,2026-02-28,auction,862000,1,1,1,,Apartment
"15/5 The Esplanade, Mosman",Mosman,2026-02-28,auction,1950000,2,1,1,,Apartment
"3/46A Moruben Road, Mosman",Mosman,2026-02-27,prior to auction,2030800,2,1,1,,Apartment
"5/53 Prince Albert Street, Mosman",Mosman,2026-02-27,private treaty,2400000,3,2,1,,Apartment
"42 Prince Street, Mosman",Mosman,2026-02-27,private treaty,5000000,4,2,2,,House
"1 Bray Street, Mosman",Mosman,2026-02-27,prior to auction,3750000,3,2,1,296,House
"310/55 Harbour Street, Mosman",Mosman,2026-02-27,prior to auction,1065000,1,1,1,,Apartment
"1/96 Ourimbah Road, Mosman",Mosman,2026-02-27,prior to auction,912000,2,1,,2003,Apartment
"21A Noble Street, Mosman",Mosman,2026-02-26,prior to auction,5100000,4,3,3,887,House
"18 Esther Road, Mosman",Mosman,2026-02-26,private treaty,14500000,4,3,4,,House
"11/27 Somerset Street, Mosman",Mosman,2026-02-26,private treaty,695000,1,1,1,,Apartment
"406/88 Vista Street, Mosman",Mosman,2026-02-26,private treaty,875000,1,1,1,,Apartment
"16 Lower Boyle Street, Mosman",Mosman,2026-02-25,prior to auction,12700000,5,3,4,619,House
"2/23 Park Avenue, Mosman",Mosman,2026-02-20,prior to auction,3550000,3,2,2,,Semi-detached
"17/98 Ourimbah Road, Mosman",Mosman,2026-02-20,prior to auction,1125000,2,1,1,,Apartment
"13/56 Harbour Street, Mosman",Mosman,2026-02-20,prior to auction,1150000,1,1,1,1031,Apartment
"3/70-72 Muston Street, Mosman",Mosman,2026-02-19,prior to auction,4100000,3,2,2,321,Apartment
"1/41 The Esplanade, Mosman",Mosman,2026-02-19,prior to auction,5000000,3,2,1,,Apartment
"20A Cobbittee Street, Mosman",Mosman,2026-02-19,prior to auction,13200000,4,4,3,,House
"4/70 Bradleys Head Road, Mosman",Mosman,2026-02-19,prior to auction,3750000,3,2,2,,Apartment
"16/22 Mosman Street, Mosman",Mosman,2026-02-19,private treaty,820000,1,1,1,,Apartment
"2/36 Upper Fairfax Road, Mosman",Mosman,2026-02-19,prior to auction,4275000,4,2,3,372,Apartment
"1D/74 Prince Street, Mosman",Mosman,2026-02-18,private treaty,1000000,2,1,1,,Apartment
"205/100 Glover Street, Mosman",Mosman,2026-02-18,private treaty,2550000,3,2,2,,Apartment
"42/36A Park Avenue, Mosman",Mosman,2026-02-17,prior to auction,1300000,2,1,1,83,Apartment
"424 Marrickville Road, Marrickville",Marrickville,2026-05-16,auction,2875000,4,2,2,519,House
"17/68-70 Illawarra Road, Marrickville",Marrickville,2026-05-15,prior to auction,1225000,3,1,1,,Apartment
"315/11-23 Gordon Street, Marrickville",Marrickville,2026-05-14,private treaty,875000,1,1,1,,Apartment
"3/358 Livingstone Road, Marrickville",Marrickville,2026-05-14,prior to auction,960000,2,1,1,78,Apartment
"34 Hollands Avenue, Marrickville",Marrickville,2026-05-14,private treaty,1710000,2,1,,,House
"19 Black Street, Marrickville",Marrickville,2026-05-13,auction,2820000,4,2,2,328,House
"32/198-204 Marrickville Road, Marrickville",Marrickville,2026-05-13,auction,837500,1,1,1,,Apartment
"20 Porter Avenue, Marrickville",Marrickville,2026-05-12,prior to auction,3550000,3,1,2,556,House
"6/32-38 Hill Street, Marrickville",Marrickville,2026-05-12,prior to auction,695000,1,1,1,,Apartment
"91 Meeks Road, Marrickville",Marrickville,2026-05-12,private treaty,1800000,4,1,1,220,House
"2/10 View Street, Marrickville",Marrickville,2026-05-11,prior to auction,975000,2,1,2,96,Apartment
"25 Francis Street, Marrickville",Marrickville,2026-05-09,auction,1700000,2,1,,227,House
"22/387-393 Marrickville Road, Marrickville",Marrickville,2026-05-09,auction,760000,1,1,1,65,Apartment
"C701/359 Illawarra Road, Marrickville",Marrickville,2026-05-08,auction,725000,1,1,1,6084,Apartment
"8/15 George Street, Marrickville",Marrickville,2026-05-08,prior to auction,980000,2,1,1,91,Apartment
"16 South Street, Marrickville",Marrickville,2026-05-07,private treaty,3020000,4,2,4,486,House
"9 Charles Street, Marrickville",Marrickville,2026-05-07,private treaty,2380000,3,1,1,399,House
"C501/359 Illawarra Road, Marrickville",Marrickville,2026-05-06,prior to auction,705100,1,1,1,,Apartment
"6/37-41 Harnett Avenue, Marrickville",Marrickville,2026-05-06,private treaty,730000,1,1,1,62,Apartment
"19 Queen Street, Marrickville",Marrickville,2026-05-05,private treaty,1800000,2,1,1,,House
"9/93-95 Warren Road, Marrickville",Marrickville,2026-05-05,prior to auction,1070000,2,1,1,,Apartment
"26/256 Wardell Road, Marrickville",Marrickville,2026-05-04,prior to auction,1365000,2,1,1,,Apartment
"6/18 Cecilia Street, Marrickville",Marrickville,2026-05-04,prior to auction,1200000,2,1,1,,Apartment
"209/178 Livingstone Road, Marrickville",Marrickville,2026-05-04,private treaty,2270000,3,2,2,,Apartment
"14 Ivanhoe Street, Marrickville",Marrickville,2026-05-01,prior to auction,1870000,2,1,,269,House
"27/11 Hill Street, Marrickville",Marrickville,2026-05-01,prior to auction,1260000,3,1,2,106,Apartment
"27/85 Beauchamp Street, Marrickville",Marrickville,2026-04-28,private treaty,545000,1,1,,,Apartment
"82 Juliett Street, Marrickville",Marrickville,2026-04-27,auction,3310000,3,2,1,208,House
"4/476 Illawarra Road, Marrickville",Marrickville,2026-04-27,private treaty,550000,1,1,,,Apartment
"9/1-3 Arthur Street, Marrickville",Marrickville,2026-04-25,private treaty,930000,2,1,1,1671,Apartment
"12 Dibble Avenue, Marrickville",Marrickville,2026-04-24,private treaty,2675000,4,3,,209,House
"18/3 Hill Street, Marrickville",Marrickville,2026-04-24,auction,980000,2,1,1,,Apartment
"6/10 View Street, Marrickville",Marrickville,2026-04-23,prior to auction,975000,2,1,2,96,Apartment
"229 Victoria Road, Marrickville",Marrickville,2026-04-23,auction,1800000,2,2,1,183,House
"5 William Street, Marrickville",Marrickville,2026-04-22,prior to auction,2555000,3,1,,335,House
"125 Addison Road, Marrickville",Marrickville,2026-04-22,auction,2050000,3,1,,221,House
"18/387-393 Marrickville Road, Marrickville",Marrickville,2026-04-21,prior to auction,1210000,2,1,1,102,Apartment
"70 Silver Street, Marrickville",Marrickville,2026-04-19,private treaty,1925000,3,1,,,House
"3/51A Woodcourt Street, Marrickville",Marrickville,2026-04-18,auction,1100000,2,1,,,Apartment
"133/186E Victoria Road, Marrickville",Marrickville,2026-04-17,private treaty,1420000,2,2,1,,Apartment
"24 Gladstone Street, Marrickville",Marrickville,2026-04-15,auction,2000000,2,1,1,196,House
"5/58 Warren Road, Marrickville",Marrickville,2026-04-15,prior to auction,870000,2,1,1,,Apartment
"12/18A Ewart Street, Marrickville",Marrickville,2026-04-15,auction,846000,2,1,1,,Apartment
"21 Bourne Street, Marrickville",Marrickville,2026-04-14,prior to auction,2910000,4,1,2,442,House
"417/186C Victoria Road, Marrickville",Marrickville,2026-04-14,auction,835000,1,1,,,Apartment
"43 Pine Street, Marrickville",Marrickville,2026-04-11,auction,2120000,3,1,1,,House
"94a Beauchamp Street, Marrickville",Marrickville,2026-04-11,private treaty,2600000,3,2,1,335,House
"17 Lilydale Street, Marrickville",Marrickville,2026-04-10,prior to auction,2000000,2,1,,252,House
"8/3 Council Street, Marrickville",Marrickville,2026-04-10,private treaty,517500,1,1,,,Apartment
"35 Wharf Street, Marrickville",Marrickville,2026-04-09,private treaty,2100000,2,1,1,404,House
"415/186C Victoria Rd, Marrickville",Marrickville,2026-04-09,prior to auction,980000,1,1,1,,Apartment
"53/198-204 Marrickville Road, Marrickville",Marrickville,2026-04-08,prior to auction,1110000,2,2,1,,Apartment
"13/525 Illawarra Rd, Marrickville",Marrickville,2026-04-07,private treaty,785000,1,1,1,,Apartment
"104/27 George Street, Marrickville",Marrickville,2026-04-02,private treaty,1650000,2,2,1,127,Apartment
"2/31 Woodcourt Street, Marrickville",Marrickville,2026-04-02,private treaty,860000,2,1,1,,Apartment
"2/167 Livingstone Road, Marrickville",Marrickville,2026-04-01,auction,1100000,2,1,1,,Apartment
"33/256 Wardell Road, Marrickville",Marrickville,2026-03-29,auction,1426000,2,1,1,127,Apartment
"40 Pine Street, Marrickville",Marrickville,2026-03-28,auction,4300000,6,3,1,708,House
"2/151 Illawarra Road, Marrickville",Marrickville,2026-03-28,auction,1730000,3,3,2,207,Townhouse
"1/32 Pine Street, Marrickville",Marrickville,2026-03-27,prior to auction,2951000,3,2,1,313,House
"31/342a Marrickville Road, Marrickville",Marrickville,2026-03-26,prior to auction,1700000,3,2,1,150,Apartment
"19 Malakoff Street, Marrickville",Marrickville,2026-03-25,prior to auction,2075000,3,2,,185,House
"1/342A Marrickville Road, Marrickville",Marrickville,2026-03-23,prior to auction,1250000,2,2,1,129,Apartment
"292 Enmore Road, Marrickville",Marrickville,2026-03-21,auction,1995000,3,1,,183,House
"8/236 Illawarra Road, Marrickville",Marrickville,2026-03-21,auction,1060000,2,2,1,103,Apartment
"17/177-181 Sydenham Road, Marrickville",Marrickville,2026-03-20,private treaty,980000,2,1,1,,Apartment
"11/1-3 Arthur Street, Marrickville",Marrickville,2026-03-20,prior to auction,970000,2,1,1,89,Apartment
"303/1-13 Garners Avenue, Marrickville",Marrickville,2026-03-19,auction,1400000,2,2,1,135,Apartment
"9/3-5 School Parade, Marrickville",Marrickville,2026-03-19,auction,860000,2,1,1,91,Apartment
"18/10 View Street, Marrickville",Marrickville,2026-03-17,auction,802500,1,1,1,68,Apartment
"189 Livingstone Road, Marrickville",Marrickville,2026-03-17,prior to auction,2770000,3,3,2,252,House
"4/2-8 Henson Street, Marrickville",Marrickville,2026-03-14,prior to auction,1040000,2,1,1,,Apartment
"3/13 Hastings Street, Marrickville",Marrickville,2026-03-13,private treaty,800000,1,1,,72,Apartment
"1 Edward Street, Marrickville",Marrickville,2026-03-13,private treaty,2110000,3,1,1,190,House
"3/63 Warren Road, Marrickville",Marrickville,2026-03-13,prior to auction,1160000,2,1,,117,Apartment
"1 Park Road, Marrickville",Marrickville,2026-03-13,prior to auction,3100000,3,2,2,373,House
"9 Woodcourt Street, Marrickville",Marrickville,2026-03-13,private treaty,2900000,3,2,1,392,House
"52 Malakoff Street, Marrickville",Marrickville,2026-03-12,private treaty,2050000,3,1,1,183,House
"713/186D Victoria Road, Marrickville",Marrickville,2026-03-11,private treaty,1070000,1,1,1,84,Apartment
"331A Livingstone Road, Marrickville",Marrickville,2026-03-10,prior to auction,2450000,2,1,1,385,House
"21/486-488 Illawarra Road, Marrickville",Marrickville,2026-03-07,auction,820000,2,1,1,75,Apartment
"5 Edward Street, Marrickville",Marrickville,2026-03-07,private treaty,1890000,2,1,1,207,House
"7/324b Marrickville Road, Marrickville",Marrickville,2026-03-07,auction,770000,1,1,1,,Apartment
"330 Illawarra Road, Marrickville",Marrickville,2026-03-06,private treaty,1800000,3,1,1,,House
"1 Amy Street, Marrickville",Marrickville,2026-03-05,private treaty,2140000,2,1,,208,House
"76 Neville Street, Marrickville",Marrickville,2026-03-05,auction,2300000,3,1,2,259,House
"238 Sydenham Road, Marrickville",Marrickville,2026-03-04,private treaty,2175000,2,2,1,252,House
"12 Garners Avenue, Marrickville",Marrickville,2026-03-04,prior to auction,2525000,3,2,,164,House
"21/85 Beauchamp Street, Marrickville",Marrickville,2026-03-03,private treaty,540000,1,1,,,Apartment
"32/254 Wardell Road, Marrickville",Marrickville,2026-03-03,prior to auction,880000,1,1,1,,Apartment
"81 Edinburgh Road, Marrickville",Marrickville,2026-02-28,auction,2500000,4,2,3,417,House
"29 Roseby Street, Marrickville",Marrickville,2026-02-28,auction,2150000,3,2,1,246,House
"402/11-23 Gordon Street, Marrickville",Marrickville,2026-02-27,private treaty,1750000,3,2,2,,Apartment
"3/2-4 Glen Street, Marrickville",Marrickville,2026-02-26,prior to auction,1217000,2,1,1,112,Apartment
"601/18 Lilydale Street, Marrickville",Marrickville,2026-02-26,private treaty,1578000,2,2,1,103,Apartment
"3/61 Neville Street, Marrickville",Marrickville,2026-02-26,prior to auction,1440000,1,1,1,156,Townhouse
"16 Calvert Street, Marrickville",Marrickville,2026-02-25,auction,2150000,4,2,1,253,House
"17/513 Chapel Road, Bankstown",Bankstown,2026-05-02,private treaty,622000,2,1,1,111,Apartment
"601/192 Stacey Street, Bankstown",Bankstown,2026-05-01,private treaty,620000,2,2,1,,Apartment
"102/10 French Avenue, Bankstown",Bankstown,2026-04-23,private treaty,630000,2,2,1,,Apartment
"313/196B Stacey Street, Bankstown",Bankstown,2026-04-23,private treaty,500000,2,2,1,116,Apartment
"66/35 Stanley Street, Bankstown",Bankstown,2026-04-20,private treaty,645000,2,1,1,,Apartment
"7/128 Meredith Street, Bankstown",Bankstown,2026-04-18,private treaty,828888,3,2,2,212,Townhouse
"1/178 Greenacre Road, Bankstown",Bankstown,2026-04-18,auction,1005000,3,1,3,235,Townhouse
"5/131-133 Meredith Street, Bankstown",Bankstown,2026-04-17,private treaty,615000,2,1,2,,Apartment
"305/5 French Avenue, Bankstown",Bankstown,2026-04-17,private treaty,680000,2,2,1,,Apartment
"1012/21 Meredith Street, Bankstown",Bankstown,2026-04-17,private treaty,730000,2,1,1,98,Apartment
"7/3 Fetherstone Street, Bankstown",Bankstown,2026-04-14,private treaty,399888,2,1,1,,Apartment
"2/166 Greenacre Road, Bankstown",Bankstown,2026-04-13,private treaty,495000,2,1,1,,Apartment
"26/1 Marshall Street, Bankstown",Bankstown,2026-04-13,private treaty,600000,2,2,1,,Apartment
"13/7 Shenton Avenue, Bankstown",Bankstown,2026-04-13,private treaty,735000,2,1,1,,Apartment
"42/2 French Avenue, Bankstown",Bankstown,2026-04-13,private treaty,480000,2,1,1,,Apartment
"605/6-8 Cross Street, Bankstown",Bankstown,2026-04-12,auction,512000,2,2,1,93,Apartment
"209/74 Restwell Street, Bankstown",Bankstown,2026-04-11,private treaty,630000,2,2,1,,Apartment
"7/180 Chapel Road South, Bankstown",Bankstown,2026-04-11,auction,863000,4,2,2,206,Apartment
"B407/4-6 French Avenue, Bankstown",Bankstown,2026-04-08,private treaty,646000,2,2,1,121,Apartment
"705/192-194 Stacey Street, Bankstown",Bankstown,2026-04-06,private treaty,610000,2,2,1,102,Apartment
"207/5 French Avenue, Bankstown",Bankstown,2026-04-02,private treaty,635000,2,2,1,,Apartment
"5/61-65 Cairds Avenue, Bankstown",Bankstown,2026-04-02,private treaty,715000,2,1,2,196,Apartment
"52/4 West Terrace, Bankstown",Bankstown,2026-03-31,private treaty,650000,2,2,2,1950,Apartment
"905/192 Stacey Street, Bankstown",Bankstown,2026-03-30,private treaty,635000,2,2,1,,Apartment
"17/54-56 Sir Joseph Banks Street, Bankstown",Bankstown,2026-03-30,private treaty,695000,3,1,2,,Apartment
"29 Edward Street, Bankstown",Bankstown,2026-03-30,auction,1572000,3,1,7,670,House
"5/274 Stacey Street, Bankstown",Bankstown,2026-03-29,private treaty,593000,2,1,1,101,Apartment
"29 Oxford Avenue, Bankstown",Bankstown,2026-03-28,private treaty,1830000,6,4,3,771,House
"6 Noumea Avenue, Bankstown",Bankstown,2026-03-28,auction,1490000,3,1,2,607,House
"3/34 Prairie Vale Road, Bankstown",Bankstown,2026-03-28,auction,845000,2,2,2,181,Townhouse
"146 Northam Avenue, Bankstown",Bankstown,2026-03-28,auction,1945000,5,2,2,626,House
"A703/4-6 French Ave, Bankstown",Bankstown,2026-03-27,private treaty,520000,1,1,1,,Apartment
"21/24 Sir Joseph Banks Street, Bankstown",Bankstown,2026-03-27,private treaty,580000,2,1,1,97,Apartment
"2/9 De Witt Street, Bankstown",Bankstown,2026-03-27,private treaty,930000,3,2,1,,Townhouse
"23/22 Raymond Street, Bankstown",Bankstown,2026-03-27,auction,465000,2,1,1,91,Apartment
"503/61-63 Rickard Road, Bankstown",Bankstown,2026-03-27,private treaty,820000,3,2,2,,Apartment
"17/7 Cross Street, Bankstown",Bankstown,2026-03-27,private treaty,645500,3,2,1,124,Apartment
"13/168 Mimosa Road, Bankstown",Bankstown,2026-03-26,private treaty,1035000,3,1,2,302,Townhouse
"5/94 The Avenue, Bankstown",Bankstown,2026-03-26,private treaty,970000,3,2,2,233,Townhouse
"5/55 Reynolds Avenue, Bankstown",Bankstown,2026-03-26,private treaty,600000,2,1,1,125,Apartment
"29/513 Chapel Road, Bankstown",Bankstown,2026-03-24,private treaty,640000,2,1,1,111,Apartment
"302/21-25 Leonard Street, Bankstown",Bankstown,2026-03-24,private treaty,660000,2,2,1,,Apartment
"13/8 Weigand Avenue, Bankstown",Bankstown,2026-03-24,private treaty,605000,2,1,1,,Apartment
"6 Heath Street, Bankstown",Bankstown,2026-03-23,auction,1800000,3,1,2,543,House
"126 South Terrace, Bankstown",Bankstown,2026-03-21,auction,1631000,3,2,3,663,House
"2 Irvine Street, Bankstown",Bankstown,2026-03-21,auction,1321000,3,1,1,455,House
"28/125 Meredith Street, Bankstown",Bankstown,2026-03-19,private treaty,570000,2,1,1,,Apartment
"15 Gail Place, Bankstown",Bankstown,2026-03-18,private treaty,1862500,7,2,4,619,House
"21/34-36 Weigand Avenue, Bankstown",Bankstown,2026-03-18,private treaty,710000,2,1,2,150,Apartment
"61 Cambridge Avenue, Bankstown",Bankstown,2026-03-17,private treaty,1605000,4,2,2,274,Semi-detached
"12/17 Shenton Avenue, Bankstown",Bankstown,2026-03-17,private treaty,600000,2,1,1,1919,Apartment
"12/18-20 Gordon Street, Bankstown",Bankstown,2026-03-16,private treaty,565000,2,1,1,,Apartment
"20/274 Stacey Street, Bankstown",Bankstown,2026-03-11,private treaty,633000,2,1,2,124,Apartment
"A504/4-6 French Avenue, Bankstown",Bankstown,2026-03-10,private treaty,625000,2,2,1,,Apartment
"612/16-20 Meredith Street, Bankstown",Bankstown,2026-03-10,private treaty,605000,2,2,2,,Apartment
"81 Griffiths Avenue, Bankstown",Bankstown,2026-03-07,auction,2050000,4,3,2,670,House
"91 Griffiths Avenue, Bankstown",Bankstown,2026-03-07,auction,1791000,4,3,4,575,House
"30/22 Raymond Street, Bankstown",Bankstown,2026-03-06,private treaty,480000,2,1,1,91,Apartment
"18/1 Carmen Street, Bankstown",Bankstown,2026-03-05,private treaty,615000,2,1,1,107,Apartment
"4/85 Cairds Avenue, Bankstown",Bankstown,2026-03-04,private treaty,500000,2,1,,,Apartment
"22/21-23 Myrtle Road, Bankstown",Bankstown,2026-03-04,private treaty,614950,2,1,1,,Apartment
"910/38 Kitchener Parade, Bankstown",Bankstown,2026-03-03,private treaty,580000,1,1,1,,Apartment
"27/5 Dellwood Street, Bankstown",Bankstown,2026-02-28,auction,640000,2,1,1,,Apartment
"18 Percy Street, Bankstown",Bankstown,2026-02-28,auction,2750000,3,2,4,1104,House
"2/30-34 Brandon Avenue, Bankstown",Bankstown,2026-02-27,private treaty,670000,2,1,2,112,Apartment
"27/274 Stacey Street, Bankstown",Bankstown,2026-02-26,private treaty,535000,2,1,2,110,Apartment
"1304/192-194 Stacey Street, Bankstown",Bankstown,2026-02-26,private treaty,489000,1,1,1,80,Apartment
"156 Chapel Road, Bankstown",Bankstown,2026-02-21,auction,1630000,7,3,,476,House
"4 Hoskins Avenue, Bankstown",Bankstown,2026-02-21,auction,2100000,9,4,4,670,House
"1002/192 Stacey Street, Bankstown",Bankstown,2026-02-20,private treaty,470000,1,1,1,,Apartment
"13/31 Myrtle Road, Bankstown",Bankstown,2026-02-20,private treaty,650000,2,1,1,,Apartment
"59/7-9 Cross Street, Bankstown",Bankstown,2026-02-19,private treaty,508888,2,1,1,138,Apartment
"19/73 Reynolds Avenue, Bankstown",Bankstown,2026-02-18,private treaty,660000,2,1,2,148,Apartment
"29/6-10 Sir Joseph Banks Street, Bankstown",Bankstown,2026-02-17,private treaty,670000,2,1,2,131,Apartment
"37/22 Raymond Street, Bankstown",Bankstown,2026-02-16,private treaty,440000,2,1,1,,House
"7/7 Dudley Avenue, Bankstown",Bankstown,2026-02-14,private treaty,635000,2,1,2,,Apartment
"17/75 Cairds Avenue, Bankstown",Bankstown,2026-02-13,private treaty,600000,2,1,1,,Apartment
"165B William Street, Bankstown",Bankstown,2026-02-13,private treaty,1250000,3,2,2,303,Semi-detached
"604/19 Meredith Street, Bankstown",Bankstown,2026-02-13,private treaty,488000,1,1,,,Apartment
"G03/6-8 Cross Street, Bankstown",Bankstown,2026-02-11,private treaty,640000,2,2,1,,Apartment
"2/38-42 Meredith Street, Bankstown",Bankstown,2026-02-09,private treaty,580000,2,2,1,,Apartment
"45/3 Fetherstone St, Bankstown",Bankstown,2026-02-09,private treaty,405000,2,1,1,,Apartment
"14/34 Weigand Avenue, Bankstown",Bankstown,2026-02-05,private treaty,660000,2,1,2,,Apartment
"10/17-27 Rickard Road, Bankstown",Bankstown,2026-02-02,private treaty,556000,2,1,1,,Apartment
"45 Allum Street, Bankstown",Bankstown,2026-01-31,auction,1892000,4,2,5,562,House
"65 Conway Road, Bankstown",Bankstown,2026-01-31,auction,1460000,3,2,3,505,House
"218/351E Hume Highway, Bankstown",Bankstown,2026-01-30,private treaty,515000,2,2,1,,Apartment
"140A South Terrace, Bankstown",Bankstown,2026-01-29,private treaty,1300000,3,3,2,355,House
"36 Salvia Avenue, Bankstown",Bankstown,2026-01-28,private treaty,2300000,4,3,4,1056,House
"12/4-8 Gordon Street, Bankstown",Bankstown,2026-01-27,private treaty,620000,2,1,2,,Apartment
"4/274 Stacey Street, Bankstown",Bankstown,2026-01-23,private treaty,525000,2,1,1,,Apartment
"5/1-5 Marshall Street, Bankstown",Bankstown,2026-01-23,private treaty,650000,2,1,1,,Apartment
"314/351E Hume Highway, Bankstown",Bankstown,2026-01-22,private treaty,515000,2,2,1,,Apartment
"227/351F Hume Highway, Bankstown",Bankstown,2026-01-19,private treaty,585000,2,2,1,,Apartment
"4B Daphne Avenue, Bankstown",Bankstown,2026-01-16,private treaty,1910000,5,4,2,348,Duplex
"10/145 Chapel Road, Bankstown",Bankstown,2026-01-16,private treaty,380000,1,1,1,,Apartment
"24 Saurine Street, Bankstown",Bankstown,2026-01-14,private treaty,2000000,4,2,6,904,House
"4/4-8 Cambridge Avenue, Bankstown",Bankstown,2026-01-14,private treaty,766000,3,1,2,,Apartment
